cdf,batch_num_tokens,replica
0.0,0.9900000000000001,2
0.01,0.9900000000000001,2
0.02,0.9900000000000001,2
0.03,1.993661701417351,2
0.04,2.974233423476717,2
0.05,4.014835333028612,2
0.06,4.014835333028612,2
0.07,4.014835333028612,2
0.08,4.014835333028612,2
0.09,5.002829575110743,2
0.1,5.002829575110743,2
0.11,5.002829575110743,2
0.12,5.98951037117267,2
0.13,5.98951037117267,2
0.14,7.028793021534833,2
0.15,7.924973703917148,2
0.16,8.935418643763667,2
0.17,8.935418643763667,2
0.18,507.8355509801901,2
0.19,507.8355509801901,2
0.2,507.8355509801901,2
0.21,507.8355509801901,2
0.22,507.8355509801901,2
0.23,507.8355509801901,2
0.24,507.8355509801901,2
0.25,507.8355509801901,2
0.26,507.8355509801901,2
0.27,507.8355509801901,2
0.28,507.8355509801901,2
0.29,507.8355509801901,2
0.3,507.8355509801901,2
0.31,507.8355509801901,2
0.32,507.8355509801901,2
0.33,507.8355509801901,2
0.34,507.8355509801901,2
0.35000000000000003,507.8355509801901,2
0.36,507.8355509801901,2
0.37,507.8355509801901,2
0.38,507.8355509801901,2
0.39,507.8355509801901,2
0.4,507.8355509801901,2
0.41000000000000003,507.8355509801901,2
0.42,507.8355509801901,2
0.43,507.8355509801901,2
0.44,507.8355509801901,2
0.45,507.8355509801901,2
0.46,507.8355509801901,2
0.47000000000000003,507.8355509801901,2
0.48,507.8355509801901,2
0.49,507.8355509801901,2
0.5,507.8355509801901,2
0.51,507.8355509801901,2
0.52,507.8355509801901,2
0.53,507.8355509801901,2
0.54,507.8355509801901,2
0.55,507.8355509801901,2
0.56,507.8355509801901,2
0.5700000000000001,507.8355509801901,2
0.58,507.8355509801901,2
0.59,507.8355509801901,2
0.6,507.8355509801901,2
0.61,507.8355509801901,2
0.62,507.8355509801901,2
0.63,507.8355509801901,2
0.64,507.8355509801901,2
0.65,507.8355509801901,2
0.66,507.8355509801901,2
0.67,507.8355509801901,2
0.68,507.8355509801901,2
0.6900000000000001,507.8355509801901,2
0.7000000000000001,507.8355509801901,2
0.71,507.8355509801901,2
0.72,507.8355509801901,2
0.73,507.8355509801901,2
0.74,507.8355509801901,2
0.75,507.8355509801901,2
0.76,507.8355509801901,2
0.77,507.8355509801901,2
0.78,507.8355509801901,2
0.79,507.8355509801901,2
0.8,507.8355509801901,2
0.81,507.8355509801901,2
0.8200000000000001,507.8355509801901,2
0.8300000000000001,507.8355509801901,2
0.84,507.8355509801901,2
0.85,507.8355509801901,2
0.86,507.8355509801901,2
0.87,507.8355509801901,2
0.88,507.8355509801901,2
0.89,507.8355509801901,2
0.9,507.8355509801901,2
0.91,507.8355509801901,2
0.92,507.8355509801901,2
0.93,507.8355509801901,2
0.9400000000000001,507.8355509801901,2
0.9500000000000001,507.8355509801901,2
0.96,507.8355509801901,2
0.97,507.8355509801901,2
0.98,507.8355509801901,2
0.99,507.8355509801901,2
1.0,507.8355509801901,2
