cdf,batch_execution_time,replica
0.0,0.007671736055723654,2
0.01,0.007671736055723654,2
0.02,0.007671736055723654,2
0.03,0.007671736055723654,2
0.04,0.007671736055723654,2
0.05,0.007671736055723654,2
0.06,0.007826720622505952,2
0.07,0.007826720622505952,2
0.08,0.007984836190637385,2
0.09,0.007984836190637385,2
0.1,0.00882463816066693,2
0.11,0.00882463816066693,2
0.12,0.00882463816066693,2
0.13,0.00882463816066693,2
0.14,0.009184790723085742,2
0.15,0.009370342050824848,2
0.16,0.009752765968826068,2
0.17,0.009752765968826068,2
0.18,0.02351363037542594,2
0.19,0.024967682012896775,2
0.2,0.025472079629318932,2
0.21,0.025986667096577903,2
0.22,0.025986667096577903,2
0.23,0.026511650270246143,2
0.24,0.026511650270246143,2
0.25,0.027047239164594554,2
0.26,0.027047239164594554,2
0.27,0.027047239164594554,2
0.28,0.027593648036606563,2
0.29,0.027593648036606563,2
0.3,0.02815109547168953,2
0.31,0.02815109547168953,2
0.32,0.02815109547168953,2
0.33,0.028719804471117598,2
0.34,0.028719804471117598,2
0.35000000000000003,0.02930000254124119,2
0.36,0.02930000254124119,2
0.37,0.02930000254124119,2
0.38,0.02989192178449859,2
0.39,0.02989192178449859,2
0.4,0.02989192178449859,2
0.41000000000000003,0.030495798992266235,2
0.42,0.030495798992266235,2
0.43,0.030495798992266235,2
0.44,0.031111875739584745,2
0.45,0.031111875739584745,2
0.46,0.031111875739584745,2
0.47000000000000003,0.03174039848179858,2
0.48,0.03174039848179858,2
0.49,0.03174039848179858,2
0.5,0.03238161865314803,2
0.51,0.03238161865314803,2
0.52,0.033035792767353044,2
0.53,0.033035792767353044,2
0.54,0.033035792767353044,2
0.55,0.03370318252022886,2
0.56,0.03370318252022886,2
0.5700000000000001,0.03370318252022886,2
0.58,0.0343840548943749,2
0.59,0.0343840548943749,2
0.6,0.03507868226597844,2
0.61,0.03507868226597844,2
0.62,0.03578734251377598,2
0.63,0.03578734251377598,2
0.64,0.03578734251377598,2
0.65,0.0365103191302159,2
0.66,0.0365103191302159,2
0.67,0.037247901334866725,2
0.68,0.037247901334866725,2
0.6900000000000001,0.03800038419011656,2
0.7000000000000001,0.038768068719209826,2
0.71,0.038768068719209826,2
0.72,0.039551262026668615,2
0.73,0.039551262026668615,2
0.74,0.040350277421146774,2
0.75,0.0411654345407659,2
0.76,0.041997059480983395,2
0.77,0.041997059480983395,2
0.78,0.04284548492504366,2
0.79,0.043711050277064754,2
0.8,0.044594101797813514,2
0.81,0.04549499274322388,2
0.8200000000000001,0.04641408350571326,2
0.8300000000000001,0.04735174175835393,2
0.84,0.048308342601957044,2
0.85,0.050279910507352706,2
0.86,0.051295666275178016,2
0.87,0.053389153318344144,2
0.88,0.05556808009391171,2
0.89,0.05669066757055639,2
0.9,0.05900433628071072,2
0.91,0.06265308598107648,2
0.92,0.06521009387745753,2
0.93,0.06787145879440303,2
0.9400000000000001,0.07206853956082841,2
0.9500000000000001,0.07500981247423841,2
0.96,0.07807112509434813,2
0.97,0.08289893966275547,2
0.98,0.08802529986475986,2
0.99,0.0972833257620909,2
1.0,0.11646998560435963,2
